id,privacy_api_class,privacy_api_method,privacy_api,description
207,android.media.ExifInterface,getAttributeDouble,Landroid/media/ExifInterface;.getAttributeDouble:(Ljava/lang/String;D)D,Allows an application  to access any geographic locations persisted in the user's shared collection
208,android.media.ExifInterface,getAttributeInt,Landroid/media/ExifInterface;.getAttributeInt:(Ljava/lang/String;I)I,Allows an application  to access any geographic locations persisted in the user's shared collection
209,android.media.ExifInterface,getAttributeRange,Landroid/media/ExifInterface;.getAttributeRange:(Ljava/lang/String;)[J,Allows an application  to access any geographic locations persisted in the user's shared collection
210,android.bluetooth.BluetoothHeadsetClient,getAudioRouteAllowed,,Required to be able to connect to paired Bluetooth devices.
211,android.bluetooth.BluetoothHeadset,getAudioState,,Required to be able to connect to paired Bluetooth devices.
212,android.bluetooth.BluetoothDevice,getBluetoothClass,Landroid/bluetooth/BluetoothDevice;.getBluetoothClass:()Landroid/bluetooth/BluetoothClass;,Required to be able to connect to paired Bluetooth devices.
213,android.bluetooth.BluetoothAdapter,getBondedDevices,Landroid/bluetooth/BluetoothAdapter;.getBondedDevices:()Ljava/util/Set;,Required to be able to connect to paired Bluetooth devices.
214,android.bluetooth.BluetoothDevice,getBondState,Landroid/bluetooth/BluetoothDevice;.getBondState:()I,Required to be able to connect to paired Bluetooth devices.
215,android.telecom.TelecomManager,getCallCapablePhoneAccounts,Landroid/telecom/TelecomManager;.getCallCapablePhoneAccounts:()Ljava/util/List;,"Allows read only access to phone state, including the current cellular  network information, the status of any ongoing calls, and a list of any  android.telecom.PhoneAccounts registered on the device. Note: If both your  minSdkVersion and targetSdkVersion values are set to 3 or lower, the system  implicitly grants your app this permission. If you don't need this  permission, be sure your targetSdkVersion is 4 or higher"
216,android.telecom.TelecomManager,getCallState,,"Allows read only access to phone state, including the current cellular  network information, the status of any ongoing calls, and a list of any  android.telecom.PhoneAccounts registered on the device. Note: If both your  minSdkVersion and targetSdkVersion values are set to 3 or lower, the system  implicitly grants your app this permission. If you don't need this  permission, be sure your targetSdkVersion is 4 or higher"
217,android.hardware.camera2.CameraManager,getCameraCharacteristics,Landroid/hardware/camera2/CameraManager;.getCameraCharacteristics:(Ljava/lang/String;)Landroid/hardware/camera2/CameraCharacteristics;,"Required to be able to access the camera device. This will automatically  enforce the uses-feature manifest element for all camera features. If you do  not require all camera features or can properly operate if a camera is not  available, then you must modify your manifest as appropriate in order to  install on devices that don't support all camera features"
218,android.telephony.TelephonyManager,getCdmaEriIconIndex,,"Allows read only access to phone state, including the current cellular  network information, the status of any ongoing calls, and a list of any  android.telecom.PhoneAccounts registered on the device. Note: If both your  minSdkVersion and targetSdkVersion values are set to 3 or lower, the system  implicitly grants your app this permission. If you don't need this  permission, be sure your targetSdkVersion is 4 or higher"
219,android.telephony.TelephonyManager,getCdmaEriIconMode,,"Allows read only access to phone state, including the current cellular  network information, the status of any ongoing calls, and a list of any  android.telecom.PhoneAccounts registered on the device. Note: If both your  minSdkVersion and targetSdkVersion values are set to 3 or lower, the system  implicitly grants your app this permission. If you don't need this  permission, be sure your targetSdkVersion is 4 or higher"
220,android.telephony.TelephonyManager,getCdmaEriText,,"Allows read only access to phone state, including the current cellular  network information, the status of any ongoing calls, and a list of any  android.telecom.PhoneAccounts registered on the device. Note: If both your  minSdkVersion and targetSdkVersion values are set to 3 or lower, the system  implicitly grants your app this permission. If you don't need this  permission, be sure your targetSdkVersion is 4 or higher"
221,android.telephony.TelephonyManager,getCellLocation,Landroid/telephony/TelephonyManager;.getCellLocation:()Landroid/telephony/CellLocation;,"Allows an app to access approximate location. Alternatively, you might  want ACCESS_FINE_LOCATION"
222,android.bluetooth.BluetoothMap,getClient,,Required to be able to connect to paired Bluetooth devices.
223,android.database.Cursor,getColumnIndexOrThrow,Landroid/database/Cursor;.getColumnIndexOrThrow:(Ljava/lang/String;)I,
224,android.telephony.SubscriptionManager,getCompleteActiveSubscriptionInfoList,Landroid/telephony/SubscriptionManager;.getCompleteActiveSubscriptionInfoList:()Ljava/util/List;,"Allows read only access to phone state, including the current cellular  network information, the status of any ongoing calls, and a list of any  android.telecom.PhoneAccounts registered on the device. Note: If both your  minSdkVersion and targetSdkVersion values are set to 3 or lower, the system  implicitly grants your app this permission. If you don't need this  permission, be sure your targetSdkVersion is 4 or higher"
225,android.telephony.CarrierConfigManager,getConfig,Landroid/telephony/CarrierConfigManager;.getConfig:()Landroid/os/PersistableBundle;,"Allows read only access to phone state, including the current cellular  network information, the status of any ongoing calls, and a list of any  android.telecom.PhoneAccounts registered on the device. Note: If both your  minSdkVersion and targetSdkVersion values are set to 3 or lower, the system  implicitly grants your app this permission. If you don't need this  permission, be sure your targetSdkVersion is 4 or higher"
