id,privacy_api_class,privacy_api_method,privacy_api,description
414,android.location.LocationManager,requestLocationUpdates,Landroid/location/LocationManager;.requestLocationUpdates:(Ljava/lang/String;JFLandroid/app/PendingIntent;)V,"Allows an app to access precise location. Alternatively, you might want  ACCESS_COARSE_LOCATION"
415,android.location.LocationManager,requestLocationUpdates,Landroid/location/LocationManager;.requestLocationUpdates:(Ljava/lang/String;JFLandroid/location/LocationListener;)V,"Allows an app to access precise location. Alternatively, you might want  ACCESS_COARSE_LOCATION"
416,android.location.LocationManager,requestLocationUpdates,Landroid/location/LocationManager;.requestLocationUpdates:(Ljava/lang/String;JFLandroid/location/LocationListener;Landroid/os/Looper;)V,"Allows an app to access precise location. Alternatively, you might want  ACCESS_COARSE_LOCATION"
417,android.location.LocationManager,requestLocationUpdates,Landroid/location/LocationManager;.requestLocationUpdates:(Ljava/lang/String;JFLjava/util/concurrent/Executor;Landroid/location/LocationListener;)V,"Allows an app to access precise location. Alternatively, you might want  ACCESS_COARSE_LOCATION"
418,android.telephony.TelephonyManager,requestNetworkScan,Landroid/telephony/TelephonyManager;.requestNetworkScan:(Landroid/telephony/NetworkScanRequest;Ljava/util/concurrent/Executor;Landroid/telephony/TelephonyScanManager$NetworkScanCallback;)Landroid/telephony/NetworkScan;,"Allows an app to access approximate location. Alternatively, you might  want ACCESS_FINE_LOCATION"
419,android.telephony.TelephonyScanManager,requestNetworkScan,,"Allows an app to access approximate location. Alternatively, you might  want ACCESS_FINE_LOCATION"
420,android.location.LocationManager,requestSingleUpdate,Landroid/location/LocationManager;.requestSingleUpdate:(Landroid/location/Criteria;Landroid/app/PendingIntent;)V,"Allows an app to access precise location. Alternatively, you might want  ACCESS_COARSE_LOCATION"
421,android.location.LocationManager,requestSingleUpdate,Landroid/location/LocationManager;.requestSingleUpdate:(Landroid/location/Criteria;Landroid/location/LocationListener;Landroid/os/Looper;)V,"Allows an app to access precise location. Alternatively, you might want  ACCESS_COARSE_LOCATION"
422,android.location.LocationManager,requestSingleUpdate,Landroid/location/LocationManager;.requestSingleUpdate:(Ljava/lang/String;Landroid/app/PendingIntent;)V,"Allows an app to access precise location. Alternatively, you might want  ACCESS_COARSE_LOCATION"
423,android.location.LocationManager,requestSingleUpdate,Landroid/location/LocationManager;.requestSingleUpdate:(Ljava/lang/String;Landroid/location/LocationListener;Landroid/os/Looper;)V,"Allows an app to access precise location. Alternatively, you might want  ACCESS_COARSE_LOCATION"
424,android.media.MediaRecorder,reset,Landroid/media/MediaRecorder;.reset:()V,Allows an application to record audio
425,android.hardware.location.GeofenceHardware,resumeGeofence,,"Allows an app to access precise location. Alternatively, you might want  ACCESS_COARSE_LOCATION"
426,android.bluetooth.BluetoothDevice,sdpSearch,,Required to be able to connect to paired Bluetooth devices.
427,android.telephony.SmsManager,sendDataMessage,Landroid/telephony/SmsManager;.sendDataMessage:(Ljava/lang/String;Ljava/lang/String;S[BLandroid/app/PendingIntent;Landroid/app/PendingIntent;)V,Used for runtime permissions related to user's SMS message
428,android.telephony.SmsManager,sendMultipartTextMessage,Landroid/telephony/SmsManager;.sendMultipartTextMessage:(Ljava/lang/String;Ljava/lang/String;Ljava/util/ArrayList;Ljava/util/ArrayList;Ljava/util/ArrayList;)V,Used for runtime permissions related to user's SMS message
429,android.telephony.SmsManager,sendMultipartTextMessage,Landroid/telephony/SmsManager;.sendMultipartTextMessage:(Ljava/lang/String;Ljava/lang/String;Ljava/util/List;Ljava/util/List;Ljava/util/List;J)V,Used for runtime permissions related to user's SMS message
430,android.telephony.SmsManager,sendMultipartTextMessage,Landroid/telephony/SmsManager;.sendMultipartTextMessage:(Ljava/lang/String;Ljava/lang/String;Ljava/util/List;Ljava/util/List;Ljava/util/List;Ljava/lang/String;Ljava/lang/String;)V,Used for runtime permissions related to user's SMS message
431,android.bluetooth.BluetoothHidDevice,sendReport,Landroid/bluetooth/BluetoothHidDevice;.sendReport:(Landroid/bluetooth/BluetoothDevice;I[B)Z,Required to be able to connect to paired Bluetooth devices.
432,com.android.internal.telephony.IccSmsInterfaceManager,sendText,,Used for runtime permissions related to user's SMS message
433,android.telephony.SmsManager,sendTextMessage,Landroid/telephony/SmsManager;.sendTextMessage:(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Landroid/app/PendingIntent;Landroid/app/PendingIntent;)V,Used for runtime permissions related to user's SMS message
434,android.telephony.SmsManager,sendTextMessage,Landroid/telephony/SmsManager;.sendTextMessage:(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Landroid/app/PendingIntent;Landroid/app/PendingIntent;J)V,Used for runtime permissions related to user's SMS message
435,android.telephony.SmsManager,sendTextMessageWithoutPersisting,Landroid/telephony/SmsManager;.sendTextMessageWithoutPersisting:(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Landroid/app/PendingIntent;Landroid/app/PendingIntent;)V,Used for runtime permissions related to user's SMS message
436,android.telephony.TelephonyManager,sendUssdRequest,Landroid/telephony/TelephonyManager;.sendUssdRequest:(Ljava/lang/String;Landroid/telephony/TelephonyManager$UssdResponseCallback;Landroid/os/Handler;)V,Allows an application to initiate a phone call without going throughthe  Dialer user interface for the user to confirm the call
437,android.bluetooth.BluetoothHeadset,sendVendorSpecificResultCode,Landroid/bluetooth/BluetoothHeadset;.sendVendorSpecificResultCode:(Landroid/bluetooth/BluetoothDevice;Ljava/lang/String;Ljava/lang/String;)Z,Required to be able to connect to paired Bluetooth devices.
438,android.telephony.TelephonyManager,sendVisualVoicemailSms,Landroid/telephony/TelephonyManager;.sendVisualVoicemailSms:(Ljava/lang/String;ILjava/lang/String;Landroid/app/PendingIntent;)V,Used for runtime permissions related to user's SMS message
439,android.telephony.TelephonyManager,sendVisualVoicemailSmsForSubscriber,,Used for runtime permissions related to user's SMS message
440,android.bluetooth.le.AdvertisingSet,setAdvertisingData,Landroid/bluetooth/le/AdvertisingSet;.setAdvertisingData:(Landroid/bluetooth/le/AdvertiseData;)V,Required to be able to advertise to nearby Bluetooth devices.
441,android.bluetooth.le.AdvertisingSet,setAdvertisingParameters,Landroid/bluetooth/le/AdvertisingSet;.setAdvertisingParameters:(Landroid/bluetooth/le/AdvertisingSetParameters;)V,Required to be able to advertise to nearby Bluetooth devices.
442,android.bluetooth.BluetoothDevice,setAlias,,Required to be able to connect to paired Bluetooth devices.
443,android.bluetooth.BluetoothHeadsetClient,setAudioRouteAllowed,,Required to be able to connect to paired Bluetooth devices.
444,android.bluetooth.BluetoothAdapter,setDiscoverableTimeout,,Required to be able to discover and pair nearby Bluetooth devices.
445,android.bluetooth.BluetoothAdapter,setName,Landroid/bluetooth/BluetoothAdapter;.setName:(Ljava/lang/String;)Z,Required to be able to connect to paired Bluetooth devices.
446,android.media.MediaRecorder,setNextOutputFile,Landroid/media/MediaRecorder;.setNextOutputFile:(Ljava/io/File;)V,Allows an application to record audio
447,android.media.MediaRecorder,setNextOutputFile,Landroid/media/MediaRecorder;.setNextOutputFile:(Ljava/io/FileDescriptor;)V,Allows an application to record audio
448,android.media.MediaRecorder,setOutputFile,Landroid/media/MediaRecorder;.setOutputFile:(Ljava/io/File;)V,Allows an application to record audio
449,android.media.MediaRecorder,setOutputFile,Landroid/media/MediaRecorder;.setOutputFile:(Ljava/io/FileDescriptor;)V,Allows an application to record audio
450,android.media.MediaRecorder,setOutputFile,Landroid/media/MediaRecorder;.setOutputFile:(Ljava/lang/String;)V,Allows an application to record audio
451,android.bluetooth.BluetoothDevice,setPin,Landroid/bluetooth/BluetoothDevice;.setPin:([B)Z,Required to be able to connect to paired Bluetooth devices.
452,android.bluetooth.BluetoothGatt,setPreferredPhy,Landroid/bluetooth/BluetoothGatt;.setPreferredPhy:(III)V,Required to be able to connect to paired Bluetooth devices.
453,android.content.ClipboardManager,setPrimaryClip,Landroid/content/ClipboardManager;.setPrimaryClip:(Landroid/content/ClipData;)V,
454,android.provider.MediaStore,setRequireOriginal,Landroid/provider/MediaStore;.setRequireOriginal:(Landroid/net/Uri;)Landroid/net/Uri;,
455,android.bluetooth.BluetoothAdapter,setScanMode,,Required to be able to discover and pair nearby Bluetooth devices.
456,android.bluetooth.le.AdvertisingSet,setScanResponseData,Landroid/bluetooth/le/AdvertisingSet;.setScanResponseData:(Landroid/bluetooth/le/AdvertiseData;)V,Required to be able to advertise to nearby Bluetooth devices.
457,android.telecom.TelecomManager,showInCallScreen,Landroid/telecom/TelecomManager;.showInCallScreen:(Z)V,"Allows read only access to phone state, including the current cellular  network information, the status of any ongoing calls, and a list of any  android.telecom.PhoneAccounts registered on the device. Note: If both your  minSdkVersion and targetSdkVersion values are set to 3 or lower, the system  implicitly grants your app this permission. If you don't need this  permission, be sure your targetSdkVersion is 4 or higher"
458,android.media.MediaRecorder,start,Landroid/media/MediaRecorder;.start:()V,Allows an application to record audio
459,android.bluetooth.le.BluetoothLeAdvertiser,startAdvertising,Landroid/bluetooth/le/BluetoothLeAdvertiser;.startAdvertising:(Landroid/bluetooth/le/AdvertiseSettings;Landroid/bluetooth/le/AdvertiseData;Landroid/bluetooth/le/AdvertiseCallback;)V,Required to be able to advertise to nearby Bluetooth devices.
460,android.bluetooth.le.BluetoothLeAdvertiser,startAdvertising,Landroid/bluetooth/le/BluetoothLeAdvertiser;.startAdvertising:(Landroid/bluetooth/le/AdvertiseSettings;Landroid/bluetooth/le/AdvertiseData;Landroid/bluetooth/le/AdvertiseData;Landroid/bluetooth/le/AdvertiseCallback;)V,Required to be able to advertise to nearby Bluetooth devices.
461,android.bluetooth.le.BluetoothLeAdvertiser,startAdvertisingSet,Landroid/bluetooth/le/BluetoothLeAdvertiser;.startAdvertisingSet:(Landroid/bluetooth/le/AdvertisingSetParameters;Landroid/bluetooth/le/AdvertiseData;Landroid/bluetooth/le/AdvertiseData;Landroid/bluetooth/le/PeriodicAdvertisingParameters;Landroid/bluetooth;)V,Required to be able to advertise to nearby Bluetooth devices.
462,android.bluetooth.le.BluetoothLeAdvertiser,startAdvertisingSet,Landroid/bluetooth/le/BluetoothLeAdvertiser;.startAdvertisingSet:(Landroid/bluetooth/le/AdvertisingSetParameters;Landroid/bluetooth/le/AdvertiseData;Landroid/bluetooth/le/AdvertiseData;Landroid/bluetooth/le/PeriodicAdvertisingParameters;Landroid/bluetooth;)V,Required to be able to advertise to nearby Bluetooth devices.
463,android.bluetooth.le.BluetoothLeAdvertiser,startAdvertisingSet,Landroid/bluetooth/le/BluetoothLeAdvertiser;.startAdvertisingSet:(Landroid/bluetooth/le/AdvertisingSetParameters;Landroid/bluetooth/le/AdvertiseData;Landroid/bluetooth/le/AdvertiseData;Landroid/bluetooth/le/PeriodicAdvertisingParameters;Landroid/bluetooth;)V,Required to be able to advertise to nearby Bluetooth devices.
464,android.bluetooth.le.BluetoothLeAdvertiser,startAdvertisingSet,Landroid/bluetooth/le/BluetoothLeAdvertiser;.startAdvertisingSet:(Landroid/bluetooth/le/AdvertisingSetParameters;Landroid/bluetooth/le/AdvertiseData;Landroid/bluetooth/le/AdvertiseData;Landroid/bluetooth/le/PeriodicAdvertisingParameters;Landroid/bluetooth;)V,Required to be able to advertise to nearby Bluetooth devices.
465,android.telecom.TelecomManager,startConference,,Allows an application to initiate a phone call without going throughthe  Dialer user interface for the user to confirm the call
466,android.bluetooth.BluetoothAdapter,startDiscovery,Landroid/bluetooth/BluetoothAdapter;.startDiscovery:()Z,Required to be able to discover and pair nearby Bluetooth devices.
467,android.bluetooth.BluetoothAdapter,startLeScan,Landroid/bluetooth/BluetoothAdapter;.startLeScan:(Landroid/bluetooth/BluetoothAdapter$LeScanCallback;)Z,Required to be able to discover and pair nearby Bluetooth devices.
468,android.bluetooth.BluetoothAdapter,startLeScan,Landroid/bluetooth/BluetoothAdapter;.startLeScan:([Ljava/util/UUID;Landroid/bluetooth/BluetoothAdapter$LeScanCallback;)Z,Required to be able to discover and pair nearby Bluetooth devices.
469,android.media.AudioRecord,startRecording,Landroid/media/AudioRecord;.startRecording:()V,Allows an application to record audio
470,android.media.AudioRecord,startRecording,Landroid/media/AudioRecord;.startRecording:(Landroid/media/MediaSyncEvent;)V,Allows an application to record audio
471,android.net.wifi.WifiManager,startScan,Landroid/net/wifi/WifiManager;.startScan:()Z,"Allows an app to access precise location. Alternatively, you might want  ACCESS_COARSE_LOCATION"
472,android.bluetooth.le.BluetoothLeScanner,startScan,Landroid/bluetooth/le/BluetoothLeScanner;.startScan:(Ljava/util/List;Landroid/bluetooth/le/ScanSettings;Landroid/app/PendingIntent;)I,Required to be able to discover and pair nearby Bluetooth devices.
473,android.bluetooth.le.BluetoothLeScanner,startScan,Landroid/bluetooth/le/BluetoothLeScanner;.startScan:(Landroid/bluetooth/le/ScanCallback;)V,Required to be able to discover and pair nearby Bluetooth devices.
474,android.bluetooth.le.BluetoothLeScanner,startScan,Landroid/bluetooth/le/BluetoothLeScanner;.startScan:(Ljava/util/List;Landroid/bluetooth/le/ScanSettings;Landroid/bluetooth/le/ScanCallback;)V,Required to be able to discover and pair nearby Bluetooth devices.
475,android.bluetooth.le.BluetoothLeScanner,startTruncatedScan,,Required to be able to discover and pair nearby Bluetooth devices.
476,android.media.AudioRecord,stop,Landroid/media/AudioRecord;.stop:()V,Allows an application to record audio
477,android.media.MediaRecorder,stop,Landroid/media/MediaRecorder;.stop:()V,Allows an application to record audio
478,android.bluetooth.le.BluetoothLeAdvertiser,stopAdvertising,Landroid/bluetooth/le/BluetoothLeAdvertiser;.stopAdvertising:(Landroid/bluetooth/le/AdvertiseCallback;)V,Required to be able to advertise to nearby Bluetooth devices.
479,android.bluetooth.le.BluetoothLeAdvertiser,stopAdvertisingSet,Landroid/bluetooth/le/BluetoothLeAdvertiser;.stopAdvertisingSet:(Landroid/bluetooth/le/AdvertisingSetCallback;)V,Required to be able to advertise to nearby Bluetooth devices.
480,android.bluetooth.BluetoothAdapter,stopLeScan,Landroid/bluetooth/BluetoothAdapter;.stopLeScan:(Landroid/bluetooth/BluetoothAdapter$LeScanCallback;)V,Required to be able to discover and pair nearby Bluetooth devices.
481,android.bluetooth.le.BluetoothLeScanner,stopScan,Landroid/bluetooth/le/BluetoothLeScanner;.stopScan:(Landroid/app/PendingIntent;)V,Required to be able to discover and pair nearby Bluetooth devices.
482,android.bluetooth.le.BluetoothLeScanner,stopScan,Landroid/bluetooth/le/BluetoothLeScanner;.stopScan:(Landroid/bluetooth/le/ScanCallback;)V,Required to be able to discover and pair nearby Bluetooth devices.
483,android.bluetooth.BluetoothHeadset,stopVoiceRecognition,Landroid/bluetooth/BluetoothHeadset;.stopVoiceRecognition:(Landroid/bluetooth/BluetoothDevice;)Z,Required to be able to connect to paired Bluetooth devices.
484,android.net.wifi.aware.WifiAwareSession,subscribe,Landroid/net/wifi/aware/WifiAwareSession;.subscribe:(Landroid/net/wifi/aware/SubscribeConfig;Landroid/net/wifi/aware/DiscoverySessionCallback;Landroid/os/Handler;)V,"Allows an app to access precise location. Alternatively, you might want  ACCESS_COARSE_LOCATION"
485,android.bluetooth.BluetoothHeadsetClient,terminateCall,,Required to be able to connect to paired Bluetooth devices.
486,android.bluetooth.BluetoothHealth,unregisterAppConfiguration,Landroid/bluetooth/BluetoothHealth;.unregisterAppConfiguration:(Landroid/bluetooth/BluetoothHealthAppConfiguration;)Z,Required to be able to connect to paired Bluetooth devices.
487,android.hardware.location.GeofenceHardware,unregisterForMonitorStateChangeCallback,,"Allows an app to access precise location. Alternatively, you might want  ACCESS_COARSE_LOCATION"
488,android.bluetooth.le.PeriodicAdvertisingManager,unregisterSync,,Required to be able to discover and pair nearby Bluetooth devices.
489,android.bluetooth.BluetoothGatt,writeDescriptor,Landroid/bluetooth/BluetoothGatt;.writeDescriptor:(Landroid/bluetooth/BluetoothGattDescriptor;)Z,Required to be able to connect to paired Bluetooth devices.
490,java.lang.Runtime.exec,pm list packages,,
491,java.lang.Runtime.exec,/proc/net/arp,,
492,java.lang.Runtime.exec,/proc/pid/net/arp,,
493,java.lang.Runtime.exec,/sys/block/mmcblk0/device/cid,,
494,java.lang.Runtime.exec,/sys/block/mmcblk1/device/cid,,
495,java.lang.Runtime.exec,/sys/class/mmc_host/mmc1/cid,,
496,java.lang.Runtime.exec,/sys/class/net/wlan0/address,,
497,java.lang.Runtime.exec,/sys/devices/platform/mmci-omap-hs.0/mmc_host/mmc0/mmc0:aaaa/cid,,
498,Intent Action,action.com.heytap.openid.OPEN_ID_SERVICE,,
499,Intent Action,android.intent.action.CALL,,Allows an application to initiate a phone call without going throughthe  Dialer user interface for the user to confirm the call
500,Intent Action,android.intent.action.DATA_SMS_RECEIVED,,
501,Intent Action,android.intent.action.NEW_OUTGOING_CALL,,
502,Register Broadcast,android.net.wifi.SCAN_RESULTS,,
503,Register Broadcast,android.provider.Telephony.SIM_FULL,,Allows an application to receive SMS message
504,Register Broadcast,android.provider.Telephony.SMS_CB_RECEIVED,,Allows an application to receive SMS message
505,Register Broadcast,android.provider.Telephony.SMS_DELIVER,,Allows an application to receive SMS message
506,Register Broadcast,android.provider.Telephony.SMS_RECEIVED,,Allows an application to receive SMS message
507,Register Broadcast,android.provider.Telephony.SMS_REJECTED,,Allows an application to receive SMS message
508,Register Broadcast,android.provider.Telephony.SMS_SERVICE_CATEGORY_PROGRAM_DATA_RECEIVED,,Allows an application to receive SMS message
509,Register Broadcast,android.provider.Telephony.WAP_PUSH_DELIVER,,Allows an application  to receive WAP push message
510,Register Broadcast,android.provider.Telephony.WAP_PUSH_DELIVER,,Allows an application  to receive WAP push message
511,Register Broadcast,android.provider.Telephony.WAP_PUSH_RECEIVED,,Allows an application  to receive WAP push message
512,Register Broadcast,android.provider.Telephony.WAP_PUSH_RECEIVED,,Allows an application  to receive WAP push message
513,Intent Class,com.google.android.gms.ads.identifier.service.AdvertisingIdService,,
514,Intent Action,com.google.android.gms.ads.identifier.service.PERSISTENT_START,,
515,Intent Action,com.google.android.gms.ads.identifier.service.START,,
516,Intent Class,com.samsung.android.deviceidservice.DeviceIdService,,
517,Intent Class,com.uodis.opendevice.aidl.OpenDeviceIdentifierService,,
518,Intent Class,com.zui.deviceidservice.DeviceidService,,
519,String Regex Query,content://call_log/*,,
520,String Regex Query,content://cellbroadcast-legacy*,,
521,String Regex Query,content://cellbroadcasts*,,
522,Content Query,content://cn.nubia.identity/identity/*,,
523,Content Query,content://cn.nubia.identity/identity;,,
524,String Regex Query,content://com.android.browse*,,
525,String Regex Query,content://com.android.calendar/*,,
526,String Regex Query,content://com.android.contacts*,,
527,String Regex Query,content://com.android.voicemail*,,
528,Content Query,content://com.meizu.flyme.openidsdk/*,,
529,Content Query,content://com.miui.idprovider/*,,
530,Content Query,content://com.vivo.vms.IdProvider/IdentifierId/*,,
531,String Regex Query,content://sms/*,,
532,android.provider.Telephony.Sms*,retType=android.net.Uri,,Allows an application to read SMS messages
533,Field Regex Query,android.provider.CalendarContract*,,
534,Field Regex Query,android.provider.VoicemailContract*,,
535,Field Regex Query,android.provider.CallLog*,,
536,Field Regex Query,android.provider.ContactsContract*,,
537,retType=android.net.Uri,MediaStore.Audio.Media.EXTERNAL_CONTENT_URI,,
538,retType=android.net.Uri,MediaStore.Video.Media.EXTERNAL_CONTENT_URI,,
539,retType=android.net.Uri,"MediaStore.Images.Media.EXTERNAL_CONTENT_URI
MediaStore.Audio.Playlists.EXTERNAL_CONTENT_URI;
MediaStore.Video.Thumbnails.EXTERNAL_CONTENT_URI
MediaStore.Images.Thumbnails.EXTERNAL_CONTENT_URI
MediaStore.Downloads.EXTERNAL_CONTENT_URI
MediaStore.Audio.Media.EXTERNAL_CONTENT_URI
MediaStore.Video.Media.EXTERNAL_CONTENT_URI
MediaStore.Images.Media.EXTERNAL_CONTENT_URI",,
540,retType=android.net.Uri,"MediaStore.Images.Media.EXTERNAL_CONTENT_URI
MediaStore.Audio.Playlists.EXTERNAL_CONTENT_URI;
MediaStore.Video.Thumbnails.EXTERNAL_CONTENT_URI
MediaStore.Images.Thumbnails.EXTERNAL_CONTENT_URI
MediaStore.Downloads.EXTERNAL_CONTENT_URI
MediaStore.Audio.Media.EXTERNAL_CONTENT_URI
MediaStore.Video.Media.EXTERNAL_CONTENT_URI
MediaStore.Images.Media.EXTERNAL_CONTENT_URI",,
541,retType=android.net.Uri,"MediaStore.Images.Media.EXTERNAL_CONTENT_URI
MediaStore.Audio.Playlists.EXTERNAL_CONTENT_URI;
MediaStore.Video.Thumbnails.EXTERNAL_CONTENT_URI
MediaStore.Images.Thumbnails.EXTERNAL_CONTENT_URI
MediaStore.Downloads.EXTERNAL_CONTENT_URI
MediaStore.Audio.Media.EXTERNAL_CONTENT_URI
MediaStore.Video.Media.EXTERNAL_CONTENT_URI
MediaStore.Images.Media.EXTERNAL_CONTENT_URI",,
542,retType=android.net.Uri,"MediaStore.Images.Media.EXTERNAL_CONTENT_URI
MediaStore.Audio.Playlists.EXTERNAL_CONTENT_URI;
MediaStore.Video.Thumbnails.EXTERNAL_CONTENT_URI
MediaStore.Images.Thumbnails.EXTERNAL_CONTENT_URI
MediaStore.Downloads.EXTERNAL_CONTENT_URI
MediaStore.Audio.Media.EXTERNAL_CONTENT_URI
MediaStore.Video.Media.EXTERNAL_CONTENT_URI
MediaStore.Images.Media.EXTERNAL_CONTENT_URI",,
543,retType=android.net.Uri,"MediaStore.Images.Media.EXTERNAL_CONTENT_URI
MediaStore.Audio.Playlists.EXTERNAL_CONTENT_URI;
MediaStore.Video.Thumbnails.EXTERNAL_CONTENT_URI
MediaStore.Images.Thumbnails.EXTERNAL_CONTENT_URI
MediaStore.Downloads.EXTERNAL_CONTENT_URI
MediaStore.Audio.Media.EXTERNAL_CONTENT_URI
MediaStore.Video.Media.EXTERNAL_CONTENT_URI
MediaStore.Images.Media.EXTERNAL_CONTENT_URI",,
544,retType=android.net.Uri,"MediaStore.Images.Media.EXTERNAL_CONTENT_URI
MediaStore.Audio.Playlists.EXTERNAL_CONTENT_URI;
MediaStore.Video.Thumbnails.EXTERNAL_CONTENT_URI
MediaStore.Images.Thumbnails.EXTERNAL_CONTENT_URI
MediaStore.Downloads.EXTERNAL_CONTENT_URI
MediaStore.Audio.Media.EXTERNAL_CONTENT_URI
MediaStore.Video.Media.EXTERNAL_CONTENT_URI
MediaStore.Images.Media.EXTERNAL_CONTENT_URI",,
545,retType=android.net.Uri,"MediaStore.Images.Media.EXTERNAL_CONTENT_URI
MediaStore.Audio.Playlists.EXTERNAL_CONTENT_URI;
MediaStore.Video.Thumbnails.EXTERNAL_CONTENT_URI
MediaStore.Images.Thumbnails.EXTERNAL_CONTENT_URI
MediaStore.Downloads.EXTERNAL_CONTENT_URI
MediaStore.Audio.Media.EXTERNAL_CONTENT_URI
MediaStore.Video.Media.EXTERNAL_CONTENT_URI
MediaStore.Images.Media.EXTERNAL_CONTENT_URI",,
546,retType=android.net.Uri,"MediaStore.Images.Media.EXTERNAL_CONTENT_URI
MediaStore.Audio.Playlists.EXTERNAL_CONTENT_URI;
MediaStore.Video.Thumbnails.EXTERNAL_CONTENT_URI
MediaStore.Images.Thumbnails.EXTERNAL_CONTENT_URI
MediaStore.Downloads.EXTERNAL_CONTENT_URI
MediaStore.Audio.Media.EXTERNAL_CONTENT_URI
MediaStore.Video.Media.EXTERNAL_CONTENT_URI
MediaStore.Images.Media.EXTERNAL_CONTENT_URI",,
547,java.lang.Runtime.exec,ro.boot.serialno,,
548,java.lang.Runtime.exec,ro.serialno,,
549,android.telephony.TelephonyManager,listen,Landroid/telephony/TelephonyManager;.listen:(Landroid/telephony/PhoneStateListener;I)V,
550,android.provider.Settings$Secure,getString,Landroid/provider/Settings$Secure;.getString:(Landroid/content/ContentResolver;Ljava/lang/String;)Ljava/lang/String;,
551,android.provider.ContactsContract$Contacts,openContactPhotoInputStream,Landroid/provider/ContactsContract$Contacts;.openContactPhotoInputStream:(Landroid/content/ContentResolver;Landroid/net/Uri;)Ljava/io/InputStream;,Allows an application  to read the user's contacts dat
552,android.provider.ContactsContract$Contacts,openContactPhotoInputStream,Landroid/provider/ContactsContract$Contacts;.openContactPhotoInputStream:(Landroid/content/ContentResolver;Landroid/net/Uri;Z)Ljava/io/InputStream;,Allows an application  to read the user's contacts dat
553,android.net.sip.SipAudioCall,startAudio,Landroid/net/sip/SipAudioCall;.startAudio:()V,Allows an application to record audio
554,android.net.wifi.WifiInfo,mWifiSsid,Landroid/net/wifi/WifiInfo;.mWifiSsid:Landroid/net/wifi/WifiSsid,
555,android.net.wifi.WifiInfo,getSSID,Landroid/net/wifi/WifiInfo;.getSSID:()Ljava/lang/String;,
556,android.net.wifi.WifiInfo,mBSSID,Landroid/net/wifi/WifiInfo;.mBSSID:Ljava/lang/String;,
557,android.net.wifi.WifiInfo,getBSSID,Landroid/net/wifi/WifiInfo;.getBSSID:()Ljava/lang/String;,
558,android.net.wifi.WifiInfo,mMacAddress,Landroid/net/wifi/WifiInfo;.mMacAddress:Ljava/lang/String;,
559,android.net.wifi.WifiInfo,getMacAddress,Landroid/net/wifi/WifiInfo;.getMacAddress:()Ljava/lang/String;,
560,android.net.wifi.WifiConfiguration,SSID,Landroid/net/wifi/WifiConfiguration;.SSID:Ljava/lang/String;,
561,android.net.wifi.WifiConfiguration,BSSID,Landroid/net/wifi/WifiConfiguration;.BSSID:Ljava/lang/String;,
562,android.net.wifi.WifiConfiguration,preSharedKey,Landroid/net/wifi/WifiConfiguration;.preSharedKey:Ljava/lang/String;,
563,android.telephony.SubscriptionInfo,getIccId,Landroid/telephony/SubscriptionInfo;.getIccId:()Ljava/lang/String;,
564,android.telephony.SubscriptionInfo,getNumber,Landroid/telephony/SubscriptionInfo;.getNumber:()Ljava/lang/String;,
565,android.telephony.SubscriptionInfo,getSubscriptionId,Landroid/telephony/SubscriptionInfo;.getSubscriptionId:()I,
566,android.telephony.SubscriptionInfo,mIccid,Landroid/telephony/SubscriptionInfo;.mIccid:Ljava/lang/String;,
567,android.telephony.SubscriptionInfo,mNumber,Landroid/telephony/SubscriptionInfo;.mNumber:Ljava/lang/String;,
568,android.telephony.SubscriptionInfo,mId,Landroid/telephony/SubscriptionInfo;.mId:I,
569,android.net.wifi.ScanResult,BSSID,Landroid/net/wifi/ScanResult;.BSSID:Ljava/lang/String;,
570,android.net.wifi.ScanResult,SSID,Landroid/net/wifi/ScanResult;.SSID:Ljava/lang/String;,
571,java.net.NetworkInterface,addrs,Ljava/net/NetworkInterface;.addrs:Ljava/net/InetAddress;,
572,java.net.NetworkInterface,hardwareAddr,Ljava/net/NetworkInterface;.hardwareAddr:[B,
573,java.net.NetworkInterface,getInetAddresses,Ljava/net/NetworkInterface;.getInetAddresses:()Ljava/util/Enumeration;,
574,java.net.NetworkInterface,getHardwareAddress,Ljava/net/NetworkInterface;.getHardwareAddress:()[B,
575,android.location.Location,getLatitude,Landroid/location/Location;.getLatitude:()D,
576,android.location.Location,getLongitude,Landroid/location/Location;.getLongitude:()D,
577,android.location.Location,getAltitude,Landroid/location/Location;.getAltitude:()D,
578,android.telephony.cdma.CdmaCellLocation,getSystemId,Landroid/telephony/cdma/CdmaCellLocation;.getSystemId:()I,
579,android.telephony.gsm.GsmCellLocation,getPsc,Landroid/telephony/gsm/GsmCellLocation;.getPsc:()I,
580,android.telephony.gsm.GsmCellLocation,"
getLac",Landroid/telephony/gsm/GsmCellLocation;.getLac:()I,
581,android.location.Address,getLatitude,Landroid/location/Address;.getLatitude:()D,
582,android.location.Address,getLongitude,Landroid/location/Address;.getLongitude:()D,
583,android.telephony.gsm.GsmCellLocation,getCid,Landroid/telephony/gsm/GsmCellLocation;.getCid:()I,
584,android.telephony.cdma.CdmaCellLocation,getNetworkId,Landroid/telephony/cdma/CdmaCellLocation;.getNetworkId:()I,
